trace_id,speed_phase,cvd_slope,anti_delta,rts_state,hostility_score,verdict,reason
trace_0025,REACCELERATION,DIVERGENT,53,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0026,EXPANDING,EXPANDING,88,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0027,REACCELERATION,DIVERGENT,94,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0028,REACCELERATION,FLAT,37,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0029,DECAY,FLAT,26,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0030,EXPANDING,EXPANDING,74,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0031,DECAY,EXPANDING,79,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0032,DECAY,FLAT,21,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0033,DECAY,DIVERGENT,88,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0034,REACCELERATION,DIVERGENT,57,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0035,REACCELERATION,EXPANDING,53,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0036,DECAY,EXPANDING,33,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0037,DECAY,FLAT,84,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0038,DECAY,EXPANDING,40,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0039,DECAY,DIVERGENT,61,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0040,REACCELERATION,EXPANDING,66,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0041,REACCELERATION,EXPANDING,92,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0042,EXPANDING,EXPANDING,28,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0043,DECAY,EXPANDING,80,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0044,DECAY,EXPANDING,74,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0045,EXPANDING,DIVERGENT,45,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0046,DECAY,FLAT,67,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0047,REACCELERATION,DIVERGENT,51,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0048,EXPANDING,EXPANDING,95,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0049,DECAY,EXPANDING,20,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0050,EXPANDING,DIVERGENT,49,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0051,EXPANDING,EXPANDING,29,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0052,DECAY,EXPANDING,82,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0053,EXPANDING,DIVERGENT,93,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0054,DECAY,FLAT,80,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0055,REACCELERATION,EXPANDING,75,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0056,REACCELERATION,FLAT,26,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0057,DECAY,DIVERGENT,32,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0058,EXPANDING,FLAT,33,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0059,EXPANDING,EXPANDING,77,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0060,EXPANDING,FLAT,79,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0061,EXPANDING,EXPANDING,90,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0062,EXPANDING,EXPANDING,89,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0063,EXPANDING,EXPANDING,50,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0064,EXPANDING,FLAT,47,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0065,REACCELERATION,EXPANDING,20,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0066,REACCELERATION,FLAT,78,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0067,REACCELERATION,FLAT,91,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0068,DECAY,DIVERGENT,44,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0069,REACCELERATION,EXPANDING,94,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0070,DECAY,DIVERGENT,60,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0071,EXPANDING,EXPANDING,84,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0072,DECAY,EXPANDING,85,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0073,EXPANDING,EXPANDING,28,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0074,DECAY,EXPANDING,92,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0075,EXPANDING,DIVERGENT,30,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0076,REACCELERATION,DIVERGENT,86,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0077,REACCELERATION,FLAT,60,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0078,EXPANDING,FLAT,58,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0079,REACCELERATION,FLAT,29,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0080,EXPANDING,FLAT,92,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0081,EXPANDING,EXPANDING,84,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0082,REACCELERATION,EXPANDING,28,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0083,EXPANDING,FLAT,76,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0084,DECAY,DIVERGENT,87,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0085,EXPANDING,DIVERGENT,58,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0086,DECAY,EXPANDING,37,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0087,REACCELERATION,EXPANDING,90,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0088,EXPANDING,FLAT,46,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0089,DECAY,FLAT,53,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0090,DECAY,FLAT,26,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0091,EXPANDING,DIVERGENT,55,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0092,EXPANDING,EXPANDING,36,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0093,DECAY,FLAT,76,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0094,DECAY,DIVERGENT,21,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0095,EXPANDING,EXPANDING,39,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0096,DECAY,EXPANDING,94,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0097,DECAY,EXPANDING,25,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0098,REACCELERATION,FLAT,25,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0099,REACCELERATION,EXPANDING,33,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0100,REACCELERATION,DIVERGENT,72,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0101,DECAY,DIVERGENT,50,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0102,EXPANDING,EXPANDING,23,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0103,EXPANDING,DIVERGENT,72,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0104,DECAY,DIVERGENT,54,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0105,EXPANDING,DIVERGENT,24,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0106,REACCELERATION,EXPANDING,78,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0107,REACCELERATION,FLAT,49,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0108,EXPANDING,EXPANDING,71,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0109,REACCELERATION,FLAT,55,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0110,REACCELERATION,DIVERGENT,88,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0111,REACCELERATION,EXPANDING,53,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0112,EXPANDING,DIVERGENT,53,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0113,EXPANDING,EXPANDING,64,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0114,DECAY,FLAT,85,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0115,EXPANDING,FLAT,44,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0116,REACCELERATION,EXPANDING,20,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0117,DECAY,DIVERGENT,45,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0118,REACCELERATION,FLAT,62,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0119,DECAY,FLAT,35,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0120,DECAY,FLAT,72,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0121,REACCELERATION,FLAT,90,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0122,EXPANDING,EXPANDING,68,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0123,DECAY,DIVERGENT,92,LIQUIDATION_WARNING,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0124,REACCELERATION,FLAT,20,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0125,REACCELERATION,FLAT,94,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0126,DECAY,DIVERGENT,76,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0127,REACCELERATION,DIVERGENT,80,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0128,DECAY,EXPANDING,56,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0129,DECAY,DIVERGENT,62,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0130,EXPANDING,EXPANDING,48,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0131,EXPANDING,EXPANDING,51,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0132,REACCELERATION,DIVERGENT,29,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0133,REACCELERATION,FLAT,93,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0134,EXPANDING,DIVERGENT,83,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0135,REACCELERATION,EXPANDING,20,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0136,EXPANDING,FLAT,86,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0137,REACCELERATION,EXPANDING,35,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0138,REACCELERATION,EXPANDING,87,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0139,DECAY,DIVERGENT,76,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0140,DECAY,DIVERGENT,74,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0141,DECAY,FLAT,80,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0142,REACCELERATION,FLAT,55,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0143,DECAY,FLAT,55,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0144,REACCELERATION,EXPANDING,50,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0145,REACCELERATION,FLAT,89,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0146,EXPANDING,EXPANDING,69,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0147,DECAY,EXPANDING,28,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0148,REACCELERATION,FLAT,79,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0149,REACCELERATION,EXPANDING,73,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0150,REACCELERATION,DIVERGENT,22,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0151,DECAY,FLAT,65,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0152,REACCELERATION,FLAT,73,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0153,DECAY,DIVERGENT,48,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0154,REACCELERATION,EXPANDING,82,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0155,EXPANDING,FLAT,71,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0156,DECAY,EXPANDING,36,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0157,DECAY,DIVERGENT,70,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0158,DECAY,DIVERGENT,30,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0159,DECAY,FLAT,79,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0160,EXPANDING,EXPANDING,61,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0161,EXPANDING,FLAT,68,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0162,REACCELERATION,FLAT,30,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0163,REACCELERATION,EXPANDING,26,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0164,REACCELERATION,EXPANDING,25,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0165,EXPANDING,EXPANDING,22,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0166,DECAY,EXPANDING,80,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0167,DECAY,EXPANDING,47,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0168,REACCELERATION,DIVERGENT,67,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0169,EXPANDING,DIVERGENT,34,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0170,EXPANDING,FLAT,23,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0171,REACCELERATION,DIVERGENT,68,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0172,REACCELERATION,DIVERGENT,95,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0173,DECAY,DIVERGENT,58,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0174,DECAY,DIVERGENT,92,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0175,EXPANDING,FLAT,67,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0176,EXPANDING,DIVERGENT,21,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0177,REACCELERATION,FLAT,66,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0178,DECAY,FLAT,75,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0179,EXPANDING,DIVERGENT,54,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0180,DECAY,DIVERGENT,79,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0181,REACCELERATION,DIVERGENT,61,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0182,EXPANDING,EXPANDING,77,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0183,EXPANDING,FLAT,68,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0184,REACCELERATION,EXPANDING,61,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0185,EXPANDING,FLAT,53,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0186,REACCELERATION,FLAT,55,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0187,DECAY,EXPANDING,44,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0188,EXPANDING,EXPANDING,82,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0189,DECAY,EXPANDING,82,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0190,REACCELERATION,EXPANDING,48,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0191,REACCELERATION,DIVERGENT,94,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0192,REACCELERATION,FLAT,64,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0193,REACCELERATION,DIVERGENT,65,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0194,DECAY,FLAT,52,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0195,EXPANDING,EXPANDING,60,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0196,EXPANDING,DIVERGENT,43,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0197,EXPANDING,EXPANDING,55,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0198,DECAY,DIVERGENT,87,LIQUIDATION_WARNING,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0199,DECAY,FLAT,44,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0200,REACCELERATION,EXPANDING,58,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0201,EXPANDING,DIVERGENT,55,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0202,EXPANDING,EXPANDING,36,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0203,DECAY,FLAT,21,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0204,DECAY,FLAT,76,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0205,REACCELERATION,EXPANDING,52,LIQUIDATION_WARNING,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0206,REACCELERATION,EXPANDING,71,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0207,REACCELERATION,EXPANDING,26,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0208,EXPANDING,EXPANDING,58,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0209,EXPANDING,EXPANDING,73,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0210,DECAY,DIVERGENT,48,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0211,DECAY,FLAT,76,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0212,REACCELERATION,DIVERGENT,59,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0213,DECAY,DIVERGENT,32,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0214,EXPANDING,DIVERGENT,30,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0215,EXPANDING,EXPANDING,29,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0216,EXPANDING,EXPANDING,80,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0217,REACCELERATION,EXPANDING,56,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0218,DECAY,FLAT,49,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0219,REACCELERATION,DIVERGENT,45,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0220,REACCELERATION,EXPANDING,39,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0221,REACCELERATION,EXPANDING,41,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0222,REACCELERATION,DIVERGENT,92,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0223,REACCELERATION,FLAT,58,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0224,DECAY,FLAT,84,LIQUIDATION_WARNING,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0225,DECAY,FLAT,25,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0226,REACCELERATION,DIVERGENT,52,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0227,EXPANDING,EXPANDING,93,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0228,DECAY,EXPANDING,54,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0229,DECAY,EXPANDING,42,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0230,REACCELERATION,DIVERGENT,55,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0231,EXPANDING,DIVERGENT,82,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0232,EXPANDING,FLAT,62,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0233,REACCELERATION,DIVERGENT,40,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0234,REACCELERATION,FLAT,56,NEUTRAL,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0235,DECAY,FLAT,90,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
